Timestamp (ASCII);Timestamp (s);Timecounter (s);IMU X Acc (G);IMU Y Acc (G);IMU Z Acc (G);IMU X Gyr (dps);IMU Y Gyr (dps);IMU Z Gyr (dps);IMU X Mag (gauss);IMU Y Mag (gauss);IMU Z Mag (gauss);Temperature (C);Batt Voltage (V);RSSI (-dB)
05.03.2026 17:28:48.954662;1772728128.9546618;0.9859000;0.0341600;-0.0080520;-0.9784400;-0.5600000;-0.6300000;0.2100000;0.0521701;-0.1876370;-0.0960105;9.3398438;4.0000000;58
05.03.2026 17:28:48.963717;1772728128.9637175;0.9949562;0.0344040;-0.0078080;-0.9799040;-0.5950000;-0.7000000;0.1925000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:48.972773;1772728128.9727733;1.0040124;0.0341600;-0.0080520;-0.9786840;-0.5425000;-0.6650000;0.1575000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:48.981829;1772728128.9818292;1.0130686;0.0345260;-0.0068320;-0.9785620;-0.5950000;-0.6475000;0.1400000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:48.990885;1772728128.9908848;1.0221248;0.0341600;-0.0080520;-0.9788060;-0.5425000;-0.6825000;0.1575000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:48.999940;1772728128.9999404;1.0311809;0.0344040;-0.0086620;-0.9789280;-0.5075000;-0.6300000;0.1750000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:49.008996;1772728129.0089962;1.0402371;0.0341600;-0.0081740;-0.9781960;-0.4900000;-0.6650000;0.1750000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:49.018052;1772728129.0180521;1.0492933;0.0345260;-0.0084180;-0.9781960;-0.5250000;-0.6475000;0.1400000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:49.027108;1772728129.0271077;1.0583495;0.0340380;-0.0079300;-0.9786840;-0.5600000;-0.7175000;0.1750000;0.0552389;-0.1946515;-0.1074090;9.3398438;4.0000000;57
05.03.2026 17:28:49.036163;1772728129.0361633;1.0674057;0.0345260;-0.0074420;-0.9778300;-0.5425000;-0.6300000;0.1750000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.045219;1772728129.0452192;1.0764619;0.0339160;-0.0070760;-0.9785620;-0.6475000;-0.6650000;0.1400000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.054275;1772728129.0542750;1.0855181;0.0340380;-0.0080520;-0.9779520;-0.5425000;-0.6825000;0.2100000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
